d $-114.52, Open 0/20
[2026-06-23 12:00:20] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:05:16] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:10:18] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:15:21] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:20:18] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:25:15] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:30:20] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:35:21] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:40:21] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:45:24] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:50:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 12:55:17] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:00:21] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:05:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:10:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:15:22] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:20:15] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:25:16] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:30:23] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:35:36] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:40:18] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:45:21] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:50:21] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 13:55:16] CLOSE CLANKER -1: SL pnl $-5.95 (-2.22%)
[2026-06-23 13:55:16] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:00:25] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:05:21] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:10:20] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:15:21] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:20:19] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:25:18] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:30:27] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:35:18] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:40:19] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:45:19] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:50:18] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 14:55:18] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:00:20] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:05:20] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:10:21] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:15:29] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:20:15] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:25:17] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:30:24] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:35:16] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:40:19] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
[2026-06-23 15:45:20] Cycle done. Cap $4069.68, Realized $-180.32, Open 3/20
